Design,SKU,Name,Original Category
1475,MB1-1475,"palms beach monogram","beach and coastal"
1476,MB1-1476,"surf palm tree monogram","beach and coastal"
1478,MB1-1478,"welcome dolphines","home decor and inspirational"
1479,MB1-1479,"welcome palm trees","beach and coastal"
1480,MB1-1480,"welcome surfer","beach and coastal"
1481,MB1-1481,"welcome to our home","home decor and inspirational"
1493,MB1-1493,"sunflower monogram A","family & name"
1494,MB1-1494,"sunflower monogram B","family & name"
1495,MB1-1495,"sunflower monogram C","family & name"
1496,MB1-1496,"sunflower monogram D","family & name"
1497,MB1-1497,"sunflower monogram E","family & name"
1498,MB1-1498,"sunflower monogram F","family & name"
1499,MB1-1499,"sunflower monogram G","family & name"
1500,MB1-1500,"sunflower monogram H","family & name"
1501,MB1-1501,"sunflower monogram I","family & name"
1502,MB1-1502,"sunflower monogram J","family & name"
1503,MB1-1503,"sunflower monogram K","family & name"
1504,MB1-1504,"sunflower monogram L","family & name"
1505,MB1-1505,"sunflower monogram M","family & name"
1506,MB1-1506,"sunflower monogram N","family & name"
